	101	102	111	113
r7.sound.n.04593	45	45	46	45
r7.sound.n.04594	45	45	45	45
r7.sound.n.04602	6	6	5	6
r7.sound.n.04634	1	1	3	1
r7.sound.n.04638	1	1	1	1
r7.sound.n.04649	2	2	4	1
r7.sound.n.04655	5	1	3	1
r7.sound.n.04692	1	1	1	1
r7.sound.n.04741	45	45	45	45
r7.sound.n.04742	47	5	5	47
r7.sound.n.04746	45	45	45	45
r7.sound.n.04756	45	45	45	45
r7.sound.n.04776	7	8	7&&8	8
r7.sound.n.04783	45	45	3	45
r7.sound.n.04799	5	5	5	5
r7.sound.n.04806	1	2	1	1
r7.sound.n.04807	45	1	3	45
r7.sound.n.04816	5	3	5	3&&5
r7.sound.n.04818	5	5	5	5
r7.sound.n.04821	6	6	6	6
r7.sound.n.04839	1	1	1	1
r7.sound.n.04850	1	3	3	1
r7.sound.n.04864	1	1	3	1
r7.sound.n.04866	1	1	3	1
r7.sound.n.04878	1	1	1	1
r7.sound.n.04880	1	1	1	2
r7.sound.n.04885	5	5	5	5
r7.sound.n.04890	5	5	5	5
r7.sound.n.04903	3	3	3	3
r7.sound.n.04915	45	45	3	45
r7.sound.n.04917	45	45	45	3
r7.sound.n.04918	45	45	45	45
r7.sound.n.04923	45	45	4	47
r7.sound.n.04935	45	45	3	45
r7.sound.n.04955	5	5	5	5
r7.sound.n.04964	47	47	5	47
r7.sound.n.04979	1	1	5	1
r7.sound.n.04987	45	2	46	45
r7.sound.n.04988	45	45	2	45
r7.sound.n.04991	1	5	3	1
r7.sound.n.04993	2	2	4	1
r7.sound.n.04996	5	5	5	5
r7.sound.n.05000	1	1	1	1
r7.sound.n.05002	1	1	1	1
r7.sound.n.05003	5	5	5	5
r7.sound.n.05007	45	45	2	45
r7.sound.n.05010	1	1	1	1
r7.sound.n.05022	1	2	3	1
r7.sound.n.05029	5	5	5	1&&5
r7.sound.n.05039	5	5	5	1&&5
r7.sound.n.05047	6	2	1	1&&6
r7.sound.n.05057	6	6	6	6
r7.sound.n.05059	6	6	6	6
r7.sound.n.05061	45	6	6	6
r7.sound.n.05064	1	5	5	1&&5
r7.sound.n.05066	6	6	6	6
r7.sound.n.05070	6	6	6	6
r7.sound.n.05079	6	6	6	6
r7.sound.n.05103	6	6	6	6
r7.sound.n.05126	45	45	45	45
r7.sound.n.05138	6	2	6	1&&6
r7.sound.n.05154	6	2	6	6
r7.sound.n.05155	2	2	4	5
r7.sound.n.05165	2	2	6	1
r7.sound.n.05172	6	1	6	1
r7.sound.n.05175	6	1	6	1&&6
r7.sound.n.05200	44	44	44	8
r7.sound.n.05205	45	45	6	45
r7.sound.n.05210	6	6	6	6
r7.sound.n.05220	45	45	2	45
r7.sound.n.05225	6	6	6	6
r7.sound.n.05230	6	6	6	1&&6
r7.sound.n.05236	6	1	4	1
r7.sound.n.05238	1	45	46	45
r7.sound.n.05242	45	45	45	45
r7.sound.n.05243	1	1	4	1
r7.sound.n.05248	47	47	4	47
r7.sound.n.05288	2	2	3	2
r7.sound.n.05309	45	45	45	45
r7.sound.n.05316	45	45	45	45
r7.sound.n.05317	45	45	45	45
r7.sound.n.05320	45	45	45	45
r7.sound.n.05329	45	45	45	45
r7.sound.n.05338	45	45	45	45
r7.sound.n.05340	3	3	3	3
r7.sound.n.05345	3	3	3	3
r7.sound.n.05351	45	45	45	45
r7.sound.n.05362	45	45	45	45
r7.sound.n.05370	3	3	3	3
r7.sound.n.05381	5	2	5	1&&5
r7.sound.n.05386	1	1	5	1
r7.sound.n.05400	47	2	5	1&&3
r7.sound.n.05411	1	1	1	1
r7.sound.n.05425	7	8	7&&8	8
r7.sound.n.05434	7	8	7&&8	8
r7.sound.n.05439	7	8	45	8
r7.sound.n.05443	7	7	7&&8	8
r7.sound.n.05453	1	1	1	1
r7.sound.n.05455	1	2	3	1
r7.sound.n.05458	1	1	1	1
