	101	102	111	113
r8.ask.v.00001	1	1	1	1
r8.ask.v.00002	1	1	1	1
r8.ask.v.00003	1	1	1	1
r8.ask.v.00004	1	1	1	1
r8.ask.v.00005	1	1	1	1
r8.ask.v.00006	1	1	1	1
r8.ask.v.00007	1	1	1	1
r8.ask.v.00008	1	1	4	4
r8.ask.v.00009	1	1	1	1
r8.ask.v.00010	1	1	1	1
r8.ask.v.00011	1	1	1	1
r8.ask.v.00012	2	1	1	1
r8.ask.v.00013	2	2	4	1
r8.ask.v.00014	2	2	4	4
r8.ask.v.00015	2	4	2	4
r8.ask.v.00016	1	4	1	1
r8.ask.v.00017	2	2	2	2
r8.ask.v.00018	1	1	1	1
r8.ask.v.00019	4	2	4	4
r8.ask.v.00020	4	2	4	4
r8.ask.v.00021	2	2	2	4
r8.ask.v.00022	2	2	4	4
r8.ask.v.00023	1	1	1	1
r8.ask.v.00024	1	1	2	1
r8.ask.v.00025	2	2	2	2
r8.ask.v.00026	4	4	2	2
r8.ask.v.00027	1	1	4	1
r8.ask.v.00028	1	1	1	1
r8.ask.v.00029	2	4	4	4
r8.ask.v.00030	4	4	4	4
r8.ask.v.00031	4	4	4	4
r8.ask.v.00032	1	1	1	1
r8.ask.v.00035	4	2	1	4
r8.ask.v.00055	4	2	3	4
r8.ask.v.00066	4	2	1	4
r8.ask.v.00076	4	2	1	4
r8.ask.v.00079	4	2	1	4
r8.ask.v.00083	4	4	3	4
r8.ask.v.00085	4	2	1	4
r8.ask.v.00093	4	2	1	4
r8.ask.v.00108	4	2	3	4
r8.ask.v.00111	1	1	2	1
r8.ask.v.00114	4	2	1	4
r8.ask.v.00118	1	1	2	1
r8.ask.v.00130	2	4	1	2
r8.ask.v.00143	4	2	1	4
r8.ask.v.00159	4	4	1	4
r8.ask.v.00161	4	2	1	4
r8.ask.v.00162	4	2	3	2&&4
r8.ask.v.00168	2	2	1	2
r8.ask.v.00200	4	2	1	2
r8.ask.v.00233	1	1	2	1
r8.ask.v.00245	4	2	1	4
r8.ask.v.00248	2	4	3	2
r8.ask.v.00256	4	4	1	4
r8.ask.v.00265	4	2	1	4
r8.ask.v.00291	4	2	1	2
r8.ask.v.00293	2	2	1	4
r8.ask.v.00319	4	2	1	4
r8.ask.v.00328	4	2	1	2&&4
r8.ask.v.00331	2	2	3	2
r8.ask.v.00344	4	2	1	1
r8.ask.v.00352	1	1	2	1
r8.ask.v.00384	4	4	1	4
r8.ask.v.00390	4	2	1	4
r8.ask.v.00400	4	2	1	2
r8.ask.v.00410	2	2	3	4
r8.ask.v.00421	4	1	4	1&&3
r8.ask.v.00434	2	2	1	2&&4
r8.ask.v.00454	1	1	2	1
r8.ask.v.00465	4	2	1	4
r8.ask.v.00476	1	1	2	1
r8.ask.v.00498	4	4	1	4
r8.ask.v.00509	4	4	3	4
r8.ask.v.00511	1	1	2	1
r8.ask.v.00524	4	4	1	4
r8.ask.v.00530	1	1	2	1
r8.ask.v.00549	4	2	1	4
r8.ask.v.00584	4	2	1	4
r8.ask.v.00608	4	2	1	2&&4
r8.ask.v.00624	4	4	3	4
r8.ask.v.00626	4	4	1	4
r8.ask.v.00635	1	1	2	1
r8.ask.v.00661	1	1	2	1
r8.ask.v.00667	1	4	2	1
r8.ask.v.00672	4	2	1	4
r8.ask.v.00687	1	1	2	1
r8.ask.v.00713	1	2	1	4
r8.ask.v.00717	1	1	1	1
r8.ask.v.00745	1	1	2	1
r8.ask.v.00832	1	1	2	1&&3
r8.ask.v.00856	1	1	2	1
r8.ask.v.00857	2	2	3	2
r8.ask.v.00878	4	2	1	4
r8.ask.v.00893	1	3	2	1
r8.ask.v.00936	1	1	2	1
r8.ask.v.00958	2	2	3	2
r8.ask.v.00960	2	4	3	2
r8.ask.v.00963	2	2	3	2
r8.ask.v.00965	2	2	3	2
