	109	111
r5.force.n.01339	47	47
r5.force.n.01340	47	47
r5.force.n.01342	47	47
r5.force.n.01343	47	4
r5.force.n.01344	47	4
r5.force.n.01347	47	47
r5.force.n.01352	47	47
r5.force.n.01360	47	47
r5.force.n.01364	1	5
r5.force.n.01369	47	47
r5.force.n.01376	47	47
r5.force.n.01377	47	47
r5.force.n.01380	47	4
r5.force.n.01381	47	47
r5.force.n.01382	47	47
r5.force.n.01394	47	47
r5.force.n.01395	1	45
r5.force.n.01404	6	6
r5.force.n.01418	47	47
r5.force.n.01421	8	8
r5.force.n.01422	1	7
r5.force.n.01423	47	4
r5.force.n.01424	47	4
r5.force.n.01429	47	47
r5.force.n.01430	47	4
r5.force.n.01432	47	4
r5.force.n.01437	45	46
r5.force.n.01443	47	4
r5.force.n.01450	5	5
r5.force.n.01456	47	47
r5.force.n.01465	47	4
r5.force.n.01467	47	4
r5.force.n.01474	47	47
r5.force.n.01479	47	47
r5.force.n.01482	5	5
r5.force.n.01485	9	9
r5.force.n.01487	4	4
r5.force.n.01488	47	47
r5.force.n.01489	47	47
r5.force.n.01490	47	47
r5.force.n.01493	47	2
r5.force.n.01496	47	4
r5.force.n.01497	47	4
r5.force.n.01502	1	45
r5.force.n.01508	47	4
r5.force.n.01511	47	47
r5.force.n.01521	45	45
r5.force.n.01524	47	47
r5.force.n.01527	47	47
r5.force.n.01528	1	45
r5.force.n.01535	47	47
r5.force.n.01537	47	4
r5.force.n.01538	47	47
r5.force.n.01540	1	9
r5.force.n.01544	47	4
r5.force.n.01545	47	4
r5.force.n.01550	7	1
r5.force.n.01553	9	3
r5.force.n.01554	3	3
r5.force.n.01555	47	4
r5.force.n.01556	7	7
r5.force.n.01557	3	7
r5.force.n.01560	7	7
r5.force.n.01578	47	47
r5.force.n.01580	47	47
r5.force.n.01585	5	5
r5.force.n.01609	5	5
r5.force.n.01615	47	47
r5.force.n.01620	7	6
r5.force.n.01623	47	47
r5.force.n.01631	5	5
r5.force.n.01645	47	4
r5.force.n.01646	8	4
r5.force.n.01668	8	8
r5.force.n.01671	1	1
r5.force.n.01677	1	1
r5.force.n.01682	2	6
r5.force.n.01710	6&&7	7
r5.force.n.01713	3&&5&&6	5
r5.force.n.01714	7	7
r5.force.n.01718	5	5
r5.force.n.01719	5	5
r5.force.n.01729	7	1
r5.force.n.01739	47	9
r5.force.n.01745	1	45
r5.force.n.01747	1	7
r5.force.n.01757	8	8
r5.force.n.01769	47	5
r5.force.n.01771	47	47
r5.force.n.01778	1	1
r5.force.n.01780	47	4
r5.force.n.01782	1	1
r5.force.n.01783	47	7
r5.force.n.01785	1	1
r5.force.n.01786	47	4
r5.force.n.01788	47	4
r5.force.n.01789	1&&8	8
r5.force.n.01790	47	7
r5.force.n.01791	47	4
r5.force.n.01794	45	45
r5.force.n.01797	7	1
r5.force.n.01798	7	1
r5.force.n.01800	7	2
r5.force.n.01803	1	1
r5.force.n.01805	6	3
r5.force.n.01806	4&&8	5
r5.force.n.01807	9	9
r5.force.n.01808	3	5
r5.force.n.01809	1	5
r5.force.n.01810	9	9
r5.force.n.01811	9	9
r5.force.n.01813	8	8
r5.force.n.01814	1&&7	1
r5.force.n.01821	1&&2	2
r5.force.n.01825	1&&2	2
r5.force.n.01831	2	2
r5.force.n.01832	2	2
r5.force.n.01835	2	2
r5.force.n.01839	2	2
r5.force.n.01840	2	2
r5.force.n.01841	2	2
r5.force.n.01842	2	2
r5.force.n.01843	2	2
r5.force.n.01844	2	2
r5.force.n.01845	2	2
r5.force.n.01848	2	2
r5.force.n.01849	2	2
r5.force.n.01850	47	5
r5.force.n.01862	47	47
r5.force.n.01864	47	47
r5.force.n.01866	47	47
r5.force.n.01868	47	47
r5.force.n.01869	47	5
r5.force.n.01871	47	47
r5.force.n.01873	47	47
r5.force.n.01875	5	5
r5.force.n.01877	5	5
r5.force.n.01879	5	5
r5.force.n.01881	5	5
r5.force.n.01884	47	47
r5.force.n.01893	47	47
r5.force.n.01896	47	47
r5.force.n.01901	5	5
r5.force.n.01911	47	4
r5.force.n.01920	6	6
r5.force.n.01924	47	4
r5.force.n.01932	3	6
r5.force.n.01935	47	5
r5.force.n.01936	6	5
r5.force.n.01939	47	4
r5.force.n.01940	2	2
r5.force.n.01953	2	2
