	109	111
r5.become.v.00132	2	2
r5.become.v.00193	2	2
r5.become.v.00195	1	2
r5.become.v.00197	2	2
r5.become.v.00199	2	2
r5.become.v.00201	2	2
r5.become.v.00203	1	2
r5.become.v.00206	1	1
r5.become.v.00207	2	2
r5.become.v.00208	2	1
r5.become.v.00214	2	2
r5.become.v.00217	1	1
r5.become.v.00220	2	2
r5.become.v.00221	2	2
r5.become.v.00225	2	2
r5.become.v.00227	2	2
r5.become.v.00228	2	2
r5.become.v.00232	2	2
r5.become.v.00245	2	2
r5.become.v.00247	1	1
r5.become.v.00248	2	2
r5.become.v.00252	2	2
r5.become.v.00256	1	1
r5.become.v.00259	2	2
r5.become.v.00260	2	2
r5.become.v.00261	1	1
r5.become.v.00264	1	2
r5.become.v.00269	2	1
r5.become.v.00272	1	2
r5.become.v.00276	1	1
r5.become.v.00277	2	2
r5.become.v.00279	2	2
r5.become.v.00280	1	2
r5.become.v.00282	1	1
r5.become.v.00283	2	2
r5.become.v.00284	1	2
r5.become.v.00286	2	2
r5.become.v.00289	2	2
r5.become.v.00290	2	2
r5.become.v.00291	2	2
r5.become.v.00292	1	2
r5.become.v.00293	2	2
r5.become.v.00294	2	2
r5.become.v.00296	2	2
r5.become.v.00297	44	2
r5.become.v.00298	2	2
r5.become.v.00299	1	1
r5.become.v.00301	2	2
r5.become.v.00302	44	2
r5.become.v.00303	2	1
r5.become.v.00305	1	1
r5.become.v.00307	1	1
r5.become.v.00308	1	2
r5.become.v.00309	1	1
r5.become.v.00310	1	1
r5.become.v.00312	2	2
r5.become.v.00315	1	1
r5.become.v.00316	1	1
r5.become.v.00318	2	2
r5.become.v.00322	2	2
r5.become.v.00324	1	1
r5.become.v.00325	1	2
r5.become.v.00326	1	2
r5.become.v.00327	44	1
r5.become.v.00328	1	1
r5.become.v.00329	1	1
r5.become.v.00332	2	2
r5.become.v.00333	2	2
r5.become.v.00335	2	2
r5.become.v.00336	2	2
r5.become.v.00337	2	2
r5.become.v.00338	1	1
r5.become.v.00339	2	2
r5.become.v.00340	1	1
r5.become.v.00341	1	1
r5.become.v.00345	1	2
r5.become.v.00347	1	1
r5.become.v.00349	1	1
r5.become.v.00350	1	1
r5.become.v.00353	2	2
r5.become.v.00355	44	1
r5.become.v.00356	1	1
r5.become.v.00358	1	1
r5.become.v.00359	1	1
r5.become.v.00362	1	1
r5.become.v.00363	1	1
r5.become.v.00364	2	2
r5.become.v.00367	1	2
r5.become.v.00368	2	2
r5.become.v.00370	2	2
r5.become.v.00371	2	1
r5.become.v.00372	1	1
r5.become.v.00373	2	2
r5.become.v.00374	1	1
r5.become.v.00375	2	1
r5.become.v.00376	1	2
r5.become.v.00377	2	2
r5.become.v.00378	1	2
r5.become.v.00379	1	1
r5.become.v.00380	2	2
r5.become.v.00381	1	2
r5.become.v.00383	44	1
r5.become.v.00384	1	1
r5.become.v.00385	1	1
r5.become.v.00386	1	1
r5.become.v.00388	2	2
r5.become.v.00389	1	1
r5.become.v.00392	1	1
r5.become.v.00393	2	2
r5.become.v.00394	1	1
r5.become.v.00396	1	1
r5.become.v.00397	1	1
r5.become.v.00399	2	2
r5.become.v.00400	2	2
r5.become.v.00401	1	1
r5.become.v.00403	1	1
r5.become.v.00406	2	2
r5.become.v.00407	2	2
r5.become.v.00408	2	2
r5.become.v.00409	2	2
r5.become.v.00410	44	1
r5.become.v.00411	1	1
r5.become.v.00413	2	2
r5.become.v.00416	2	2
r5.become.v.00417	1	2
r5.become.v.00419	1	1
r5.become.v.00420	2	2
r5.become.v.00421	1	1
r5.become.v.00422	2	1
r5.become.v.00423	1	2
r5.become.v.00424	1	1
r5.become.v.00426	1	1
r5.become.v.00427	2	2
r5.become.v.00428	2	2
r5.become.v.00429	1	1
r5.become.v.00430	1	2
r5.become.v.00431	2	2
r5.become.v.00432	2	2
r5.become.v.00433	2	2
r5.become.v.00434	1	2
r5.become.v.00435	1	2
r5.become.v.00436	1	2
r5.become.v.00437	2	2
r5.become.v.00438	2	2
r5.become.v.00439	1	1
r5.become.v.00440	1	1
r5.become.v.00441	1	2
r5.become.v.00442	2	2
r5.become.v.00443	2	2
r5.become.v.00444	2	2
r5.become.v.00445	2	2
r5.become.v.00446	2	2
r5.become.v.00447	2	3
r5.become.v.00448	2	2
r5.become.v.00449	1	2
r5.become.v.00450	1	1
r5.become.v.00451	2	2
r5.become.v.00452	2	2
r5.become.v.00453	2	2
r5.become.v.00454	1	2
r5.become.v.00455	2	2
r5.become.v.00456	1	1
r5.become.v.00457	1	1
r5.become.v.00458	1	2
r5.become.v.00460	1	1
r5.become.v.00462	2	2
r5.become.v.00463	2	2
r5.become.v.00464	2	2
r5.become.v.00465	2	2
r5.become.v.00466	2	2
r5.become.v.00468	1	2
r5.become.v.00472	2	2
r5.become.v.00473	2	2
r5.become.v.00474	1	1
r5.become.v.00475	2	2
r5.become.v.00477	2	2
r5.become.v.00478	2	2
r5.become.v.00479	1	2
r5.become.v.00480	2	2
r5.become.v.00481	1	1
r5.become.v.00482	1	1
r5.become.v.00483	2	2
r5.become.v.00484	1	1
r5.become.v.00485	2	2
r5.become.v.00487	2	2
r5.become.v.00490	2	2
r5.become.v.00491	2	2
r5.become.v.00492	1	1
r5.become.v.00493	2	2
r5.become.v.00494	2	2
r5.become.v.00496	1	1
r5.become.v.00497	2	2
r5.become.v.00499	1	1
r5.become.v.00500	2	2
r5.become.v.00501	1	1
r5.become.v.00502	1	1
r5.become.v.00503	2	2
r5.become.v.00504	2	2
r5.become.v.00505	1	1
r5.become.v.00507	1	1
r5.become.v.00508	1	1
r5.become.v.00509	2	2
r5.become.v.00510	2	2
r5.become.v.00513	1	1
r5.become.v.00515	1	2
r5.become.v.00516	2	2
r5.become.v.00520	1	2
r5.become.v.00521	2	2
r5.become.v.00523	2	2
r5.become.v.00524	2	2
r5.become.v.00525	2	2
r5.become.v.00526	1	1
r5.become.v.00527	2	2
r5.become.v.00528	2	2
r5.become.v.00529	1	1
r5.become.v.00530	1	1
r5.become.v.00534	1	1
r5.become.v.00535	2	2
r5.become.v.00536	2	2
r5.become.v.00537	2	2
r5.become.v.00538	1	1
r5.become.v.00539	2	2
r5.become.v.00540	1	1
r5.become.v.00541	2	2
r5.become.v.00543	2	2
r5.become.v.00547	1	2
r5.become.v.00548	1	1
r5.become.v.00550	1	1
r5.become.v.00552	2	2
r5.become.v.00555	1	1
r5.become.v.00556	1	1
r5.become.v.00557	2	2
r5.become.v.00558	1	1
r5.become.v.00561	1	1
r5.become.v.00562	2	2
r5.become.v.00563	1	1
r5.become.v.00568	2	2
r5.become.v.00571	2	2
