	101	102	111	113
r8.suggest.v.06875	3	3	2	3
r8.suggest.v.06876	2	1	1	3
r8.suggest.v.06877	3	3	1	3
r8.suggest.v.06878	3	3	3	3
r8.suggest.v.06879	1	1	1	1
r8.suggest.v.06880	3	1	1	3
r8.suggest.v.06881	3	1	1	3
r8.suggest.v.06882	3	1	1	3
r8.suggest.v.06883	3	4	2	4
r8.suggest.v.06884	1	1	1	3
r8.suggest.v.06885	1	1	1	1
r8.suggest.v.06886	3	3	2	3
r8.suggest.v.06887	45	1	1	1
r8.suggest.v.06888	3	3	1	3
r8.suggest.v.06895	1	1	1	1
r8.suggest.v.06906	3	1	3	3
r8.suggest.v.06916	3	3	3	3
r8.suggest.v.06929	2	3	1	3
r8.suggest.v.06939	3	1	1	3
r8.suggest.v.06946	3	1	1	3
r8.suggest.v.06949	3	3	3	3
r8.suggest.v.06963	1	1	1	1
r8.suggest.v.06974	3	4	4	3
r8.suggest.v.06975	4	2	4	3
r8.suggest.v.06979	3	3	4	4
r8.suggest.v.06981	1	1	1	1
r8.suggest.v.06984	3	3	3	3
r8.suggest.v.06989	3	3	3	3
r8.suggest.v.06991	3	3	2	3
r8.suggest.v.06993	1	1	1	1
r8.suggest.v.06994	1	1	1	1
r8.suggest.v.06997	2	1	1	3
r8.suggest.v.06998	3	1	1	3
r8.suggest.v.07008	3	1	1	3
r8.suggest.v.07016	1	1	1	1
r8.suggest.v.07046	3	3	2	4
r8.suggest.v.07047	45	1	1	1
r8.suggest.v.07054	1	1	1	1
r8.suggest.v.07061	3	3	3	3
r8.suggest.v.07064	1	1	1	1
r8.suggest.v.07065	3	3	3	3
r8.suggest.v.07070	4	4	1	1
r8.suggest.v.07074	3	3	2	3
r8.suggest.v.07082	4	4	4	4
r8.suggest.v.07084	1	1	1	1
r8.suggest.v.07087	3	3	3	3
r8.suggest.v.07100	1	1	1	1
r8.suggest.v.07102	3	3	3	3
r8.suggest.v.07104	1	1	1	1
r8.suggest.v.07106	3	3	3	3
r8.suggest.v.07113	3	3	3	3
r8.suggest.v.07143	3	3	1	3
r8.suggest.v.07145	3	3	3	3
r8.suggest.v.07154	3	3	3	3
r8.suggest.v.07159	1	1	1	3
r8.suggest.v.07173	3	3	3	3
r8.suggest.v.07181	3	3	3	3
r8.suggest.v.07186	3	1	1	3
r8.suggest.v.07192	3	3	3	3
r8.suggest.v.07193	3	3	3	3
r8.suggest.v.07195	3	3	3	3
r8.suggest.v.07218	3	3	3	3
r8.suggest.v.07221	3	3	3	3
r8.suggest.v.07237	3	3	3	3
r8.suggest.v.07280	3	3	3	3
r8.suggest.v.07284	3	3	3	3
r8.suggest.v.07287	3	3	3	3
r8.suggest.v.07297	3	3	3	3
r8.suggest.v.07302	3	3	3	3
r8.suggest.v.07307	3	3	3	3
r8.suggest.v.07344	3	3	3	3
r8.suggest.v.07351	3	3	3	3
r8.suggest.v.07368	3	4	3	3
r8.suggest.v.07376	3	3	3	3
r8.suggest.v.07378	3	3	3	3
r8.suggest.v.07380	3	3	3	3
r8.suggest.v.07386	3	3	3	3
r8.suggest.v.07388	3	3	1	3
r8.suggest.v.07405	3	3	3	3
r8.suggest.v.07410	1	1	1	1
r8.suggest.v.07411	3	1	1	3
r8.suggest.v.07412	3	1	3	1
r8.suggest.v.07419	3	3	3	3
r8.suggest.v.07424	3	3	3	3
r8.suggest.v.07426	3	3	3	3
r8.suggest.v.07445	3	3	3	3
r8.suggest.v.07450	3	3	3	3
r8.suggest.v.07452	3	3	3	3
r8.suggest.v.07467	3	3	3	3
r8.suggest.v.07468	3	3	3	3
r8.suggest.v.07469	3	3	3	3
r8.suggest.v.07474	3	3	3	3
r8.suggest.v.07491	3	3	3	3
r8.suggest.v.07515	3	3	3	3
r8.suggest.v.07541	3	3	3	3
r8.suggest.v.07548	1	1	1	1
r8.suggest.v.07575	3	3	3	3
r8.suggest.v.07598	3	3	3	3
r8.suggest.v.07634	1	1	1	3
r8.suggest.v.07642	45	1	1	1
