	101	102	111	113
r4.suspicious.j.06571	1	1	1	1
r4.suspicious.j.06574	1	1	1	1
r4.suspicious.j.06576	2	2	2	2
r4.suspicious.j.06578	1	1	1	1
r4.suspicious.j.06580	2	2	1	2
r4.suspicious.j.06581	2	1	1	1
r4.suspicious.j.06582	1	1	1	1
r4.suspicious.j.06583	1	2	2	2
r4.suspicious.j.06584	1	2	1	1
r4.suspicious.j.06585	1	2	2	1
r4.suspicious.j.06588	1	2	1	1
r4.suspicious.j.06589	1	1	1	1
r4.suspicious.j.06591	1	1	1	1
r4.suspicious.j.06592	2	2	2	2
r4.suspicious.j.06593	1	1	1	1
r4.suspicious.j.06594	2	2	2	2
r4.suspicious.j.06595	2	2	2	2
r4.suspicious.j.06596	2	2	1	2
r4.suspicious.j.06599	2	2	2	2
r4.suspicious.j.06600	2	2	2	2
r4.suspicious.j.06601	2	2	2	2
r4.suspicious.j.06603	2	2	2	2
r4.suspicious.j.06604	1	1	1	1
r4.suspicious.j.06606	2	2	2	2
r4.suspicious.j.06607	1	1	1	1
r4.suspicious.j.06609	1	1	1	1
r4.suspicious.j.06611	1	1	1	1
r4.suspicious.j.06613	2	1	2	2
r4.suspicious.j.06614	2	2	2	2
r4.suspicious.j.06617	2	2	2	2
r4.suspicious.j.06618	2	2	1	2
r4.suspicious.j.06621	2	2	1	1
r4.suspicious.j.06622	2	2	2	2
r4.suspicious.j.06623	1	1	1	1
r4.suspicious.j.06624	2	2	2	2
r4.suspicious.j.06626	1	1	2	1
r4.suspicious.j.06629	2	2	1	2
r4.suspicious.j.06631	2	2	2	2
r4.suspicious.j.06632	2	2	2	2
r4.suspicious.j.06634	1	1	1	1
r4.suspicious.j.06636	2	2	1	2
r4.suspicious.j.06637	1	1	1	1
r4.suspicious.j.06639	1	1	1	1
r4.suspicious.j.06641	2	2	2	2
r4.suspicious.j.06642	2	2	1&&2	1
r4.suspicious.j.06643	2	2	1	2
r4.suspicious.j.06644	1	1	1	1
r4.suspicious.j.06646	1	1	1	1
r4.suspicious.j.06650	2	2	2	2
r4.suspicious.j.06651	1	1	1	1
r4.suspicious.j.06652	2	2	2	2
r4.suspicious.j.06653	1	1	1	1
r4.suspicious.j.06654	1	1	1	1
r4.suspicious.j.06655	1	1	1	1
r4.suspicious.j.06656	1	1	1	1
r4.suspicious.j.06658	1	1	1	1
r4.suspicious.j.06660	1	2	1	1
r4.suspicious.j.06663	1	1	1	1
r4.suspicious.j.06664	1	1	1	1
r4.suspicious.j.06665	1	1	1	1
r4.suspicious.j.06667	2	2	2	2
r4.suspicious.j.06668	1	1	1	1
r4.suspicious.j.06669	1	1	1	1
r4.suspicious.j.06670	1	1	1	1
r4.suspicious.j.06672	2	2	2	2
r4.suspicious.j.06674	1	1	1	1
r4.suspicious.j.06675	1	1	1	1
r4.suspicious.j.06676	2	2	2	2
r4.suspicious.j.06677	2	1	1	1
r4.suspicious.j.06679	1	1	1	1
r4.suspicious.j.06680	1	1	1	1
r4.suspicious.j.06682	1	1	1	1
r4.suspicious.j.06683	1	1	1	1
r4.suspicious.j.06684	2	2	2	2
r4.suspicious.j.06685	1	2	1	1
r4.suspicious.j.06686	2	2	2	2
r4.suspicious.j.06687	2	1	2	2
r4.suspicious.j.06688	2	2	2	2
r4.suspicious.j.06689	2	2	2	2
r4.suspicious.j.06690	2	2	1	2
r4.suspicious.j.06692	2	2	2	2
r4.suspicious.j.06695	1	1	1	1
r4.suspicious.j.06696	1	1	1	1
r4.suspicious.j.06699	2	2	2	2
r4.suspicious.j.06700	2	2	2	2
r4.suspicious.j.06701	2	2	1	2
r4.suspicious.j.06702	2	2	2	2
r4.suspicious.j.06703	2	2	2	2
r4.suspicious.j.06704	2	2	2	2
r4.suspicious.j.06705	2	2	1	2
r4.suspicious.j.06706	2	2	1	2
r4.suspicious.j.06710	2	2	2	2
r4.suspicious.j.06712	2	2	2	2
r4.suspicious.j.06713	1	1	1	1
r4.suspicious.j.06714	2	2	2	2
r4.suspicious.j.06715	1	1	1	1
r4.suspicious.j.06716	1	1	1	1
r4.suspicious.j.06717	1	1	1	1
