	109	111
r5.greek.j.02316	1	46
r5.greek.j.02317	1	1
r5.greek.j.02318	45	1
r5.greek.j.02320	45	45
r5.greek.j.02323	45	1
r5.greek.j.02324	1	1
r5.greek.j.02325	1	1
r5.greek.j.02328	1	1
r5.greek.j.02329	1	1
r5.greek.j.02330	1	1
r5.greek.j.02331	1	1
r5.greek.j.02332	1	1
r5.greek.j.02387	1	1
r5.greek.j.02394	1	46
r5.greek.j.02420	1	1
r5.greek.j.02451	1	1
r5.greek.j.02453	1	1
r5.greek.j.02455	47	46
r5.greek.j.02457	45	46
r5.greek.j.02459	1	1
r5.greek.j.02498	1	1
r5.greek.j.02513	1	1
r5.greek.j.02535	45	1
r5.greek.j.02547	1	1
r5.greek.j.02552	46	1
r5.greek.j.02575	1	1
r5.greek.j.02626	45	46
r5.greek.j.02627	1	1
r5.greek.j.02628	45	46
r5.greek.j.02629	1	1
r5.greek.j.02631	1	1
r5.greek.j.02632	1	1
r5.greek.j.02638	1	1
r5.greek.j.02642	1	46
r5.greek.j.02643	45	1
r5.greek.j.02644	1	1
r5.greek.j.02645	1	1
r5.greek.j.02646	1	1
r5.greek.j.02647	1	1
r5.greek.j.02648	1	1
r5.greek.j.02649	1	1
r5.greek.j.02650	45	45
r5.greek.j.02651	1	1
r5.greek.j.02652	1	1
r5.greek.j.02653	1	46
r5.greek.j.02654	1	1
r5.greek.j.02655	1	1
r5.greek.j.02656	1	1
r5.greek.j.02657	1	1
r5.greek.j.02658	1	1
r5.greek.j.02659	1	1
r5.greek.j.02660	1	1
r5.greek.j.02661	1	1
r5.greek.j.02662	1	1
r5.greek.j.02663	1	1
r5.greek.j.02664	1	1
r5.greek.j.02665	1	1
r5.greek.j.02666	1	1
r5.greek.j.02667	1	1
r5.greek.j.02668	1	1
r5.greek.j.02669	45	45
r5.greek.j.02670	1	1
r5.greek.j.02671	1	1
r5.greek.j.02672	1	1
r5.greek.j.02673	1	1
r5.greek.j.02674	1	1
r5.greek.j.02675	1	1
r5.greek.j.02676	1	1
r5.greek.j.02677	1	1
r5.greek.j.02678	1	1
r5.greek.j.02679	1	1
r5.greek.j.02680	1	1
r5.greek.j.02681	1	1
r5.greek.j.02682	1	1
r5.greek.j.02683	47	45
r5.greek.j.02684	1	1
r5.greek.j.02685	1	1
r5.greek.j.02686	1	1
r5.greek.j.02687	1	1
r5.greek.j.02688	1	1
r5.greek.j.02689	45	1
r5.greek.j.02690	1	1
r5.greek.j.02691	1	1
r5.greek.j.02692	1	1
r5.greek.j.02693	1	1
r5.greek.j.02694	1	1
r5.greek.j.02695	1	1
r5.greek.j.02696	1	1
r5.greek.j.02697	1	1
r5.greek.j.02698	45	1
r5.greek.j.02699	1	1
r5.greek.j.02700	1	1
