text,target
Дівчинка – це помічниця для мами(Ігнатенко),Стереотип
Всі чоловіки козли(Ігнатенко),Секзим
"Він занадто молодий, щоб бути начальником",Стереотип
"Жінко, твій день восьме березня",Стереотип
Виховання дітей – це доля жінки,Стереотип
Чоловіки не плачуть,Стереотип
Всі чоловіки полігамні і жінки повині з цим змиритись,Стереотип
"Чоловік, який стверджує, що жінці місце на кухні просто не знає що з нею робити в спальні ",Сексизм
"Хлопцям потрібно гарно вчитись, а дівчатам достатньо успішно вийти заміж",Стереотип
"Тобі нема чого вчитися стріляти, ти ж дівчина.
Не розкрита фраза ",Стереотип
Жіноча логіка.,Стереотип
"Жінки, це прикраса, вони радують чоловікам очі.",Лукізм
"Такій гарній дівчині як ти, легше живеться.",Стереотип
"Носи жіночний одяг, ти ж дівчинка.",Стереотипне бачення фемінності
"Ти чоловік, ти повинен заробляти і забезпечувати свою сім'ю.",Стереотип
Сильне чоловіче плече,Стереотип
"Відпустка для догляду за дитиною, тільки жіноча справа.", стереотип
Чоловік повинен платити за жінку.,Стереотип
" Б'є значить-любить
Фраза не розкрита 
пошукати публікації на Гендер в деталях ",Стереотип
Я старше мені видніше.,Ейджизм
Всі жінки емоційні.,Стереотип
 Батьківського інстинкту не існує ,Стереотип
"Дамський угодник
ця фраза не розкрита 
література не дуже доречна 
погугліть ретельніше і переробіть ",Стереотип
Підкаблучник (каблук),Стереотип
"Волос довгий, розум короткий ",Стереотип
"Аби стати жінкою генерала, потрібно вийти заміж за лейтенанта ",Стереотип
"Ну ви ж жінка, потерпите",Стереотип
Жінки - квіти життя ,"Стереотип
які критерії? чому далі подібне твердження - обєктивація? 
гендерний стереотип, об'єктивація жінок - так можна доповнити "
"Жінка має займатися одним, чоловік - іншим ",Стереотип
Вона моя ціль ,Об'єктивація
"Нормального чоловіка нудить від всіх ваших, дівчата, «я сама»
не розумію цю фразу та її пояснення? якщо ви теж не дуже розумієте, то запитайте 
у авторок проекту, про що йдеться ",Стереотип
Жінка без чоловіка - неповноцінний член суспільства  ,Стереотип
Дамський каприз ,Стереотип
Як втримати чоловіка ,"Стереотипні уявлення
чим відрізняється від стереотипу? "
Розкрий свою внутрішню жінку,Стереотип
Чоловіки полюбляють «розкривати упаковку»,Об'єктивація
Не для тебе матуся квітку вирощувала,"Сексизм
а чому не об'єктивація? "
Нарешті я зробила собі груди ,"Лукізм
а чому не сексизм? "
Хлопці не мають права ображати (ганьбити) жінку  ,"Сексизм, стереотип"
"Чим більше ти вписуєшся в стандарти краси, тим менше тобі доведеться робити самій","Лукізм
а сексизм і гендерний стереотип? "
"Я зрозуміла, що особливих талантів у мене немає, через це доведеться бути красивою  ","Стереотип, сексизм"
Соски наче червона ганчірка для чоловіка ,"Стереотип, сексизм"
Геїв потрібно вбивати,Дискримінація
Вона подарувала йому дитину ,Об'єктивація
Кожній жінці хочеться подобатися (за замовченням мається на увазі чоловікам),"Стереотип, сексизм"
Справжніх чоловіків залишилось мало,"Стереотип, сексизм"
"Ти недожінка, якщо не вмієш готувати ","Стереотип, сексизм"
Жіноча мудрість,Стереотип
Не народжувала – не жінка ,Стереотип
"  Успішна кар'єра у жінок, значить все через ліжко ",Сексизм 
"Зґвалтування дівчини, тому що вона сама винна в тому ",Насильство
  Рожевий - дівчачий колір ,Стереотип
"Тобі, як жінці, не сподобається ця робота, вона пов'язана з технологіями. ","Сексизм та стереотипізація щодо певних навичок
а це що за нова категорія? чому не гендерний стереотип? "
Непогано як для жінки ,"Побутовий сексизм
чим відрізняється від звичайного сексизму? чи доцільно вживати? "
"Подивимось, чи є в вас щось окрім краси ",Побутовий сексизм
"Пощастило, що у мене доньки (стосовно допомоги з хатньою роботою) ","Сексизм
а чому не гендерний стереотип? "
Жінка за кермом як мавпа з гранатою,"Сексизм та стереотипізація щодо певних навичок
краще продумати тут і далі категорії класифікації"
"Жінка за кермом як зірка в небі - ти її бачиш, а вона тебе ні ",Сексизм та стереотипізація щодо певних навичок
Хлопці не тримаються за мамин поділ ,"Стереотипне бачення маскулінності
варто гендерний стереотип "
"Якщо ти капризна під час вагітності, то точно чекай дівчинку ","Стереотипізація жінок за ознакою емоційності
Можливо, не варто так деталізувати, бо не усі це роблять
А гендерний стереотип "
Жіноча інтуіція ,Гендерний стереотип
Всі жінки - стерви ,Гендерний стереотип
Жінкам від нас потрібні тільки гроші ,Гендерний стереотип
"Якщо він не платить за тебе вже на першому побаченні, то ти для нього точно нічого не означаєш",Гендерний стереотип
"Чоловік - голова, а жінка - шия
Це досить популярне українське прислів'я, тому варто більш зрозуміло пояснити, аби, наприклад
ваші батьки могли зрозуміти ",Гендерний стереотип
"Секс на першому побаченні: чоловік - мачо, а жінка - повія","Гендерний стереотип, сексизм"
"Якщо ти будеш ніжною та жіночною, то він захоче тебе оберігати та захищати","Стереотипне бачення маскулінності
чому тільки маскулінності? "
Старая дева,Сексизм
Жінки постійно перебивають!,Гендерний стереотип
Жіночої дружби не існує,Гендерний стереотип
"Мудра жінка,  навіть посварившись з чоловіком, все одно приготує йому вечерю
Пояснення не зовсім стосується фрази, для чого жінка це зробить? ",
"Якою б сильною жінка не була, вона все одно шукає чоловіка сильнішого за себе",
"Чоловік повинен допомогти жінці бути слабкою, сильною вона може бути і без нього ",
Дівоча пам'ять ,
Пацан сказав - пацан зробив,? 
Жінка ніколи не зрівняється з чоловіком,сексизм
"Жінка стає повноцінною тільки тоді, коли її полюбить чоловік","сексизм
а чому не гендерні стереотипи? "
"Жіночий мозок у середньому важить меньше чоловічого, тому жінку важко зрозуміти  ",стереотип
Блондинки не такі вже й дури як хотілось   ,"сексизм, лукізм "
"Розумна жінка сама розуміє, що вона дура   ",сексизм
"Без жінки ти не чоловік, а з жінкою не людина ",Сексизм 
"Баби дури не тому що дури, а тому що баби  
пошукайте, звідки ця фраза ",сексизм
"У житті жінки є три періоди: спочатку вона отруює життя батька, потім чоловікові, а потім зятю  ","сексизм
мізогінія? "
Коли чоловік говорить - жінка повинна мовчати  ,сексизм
Нехай жінка не розмірковує: це жахливо   ,Сексизм
Чоловік повинен бути трішки гарніший за мавпу ,лукізм 
Перші 40 років дитинства чоловіків - найважчі,Сексизм
"Бог створив жінок красивими, щоб їх могли любити чоловіки, і дурними - щоб вони могли любити чоловіків",Сексизм
Всі чоловіки однакові,Сексизм
"Чоловіки хочуть сексу, жінки кохання",Сексизм
"Ти така роздратована, у тебе ці дні?",Сексизм
"Не буває не гарних жінок, буває замало алкоголю","Сексизм, лукізм"
Тобі в навігаторі потрібно було чоловічий голос обрати. Жіночий голос право і ліво плутає,Сексизм
"Дівчатам на обов'язково бути розумними, нехай будуть гарними","Сексизм, лукізм"
Жінка повинна взяти прізвище чоловіка і це навіть не обговорюється,Сексизм
Всі жінки хочуть заміж та дітей,Сексизм
Чоловіки не вміють доглядати за дитиною,Сексизм
"Жінка повинна народжувати дітей, чоловік займатись кар'єрою",Сексизм
"Жінки повинні бути більш покірними та приділяти більше уваги чоловікам, тоді і насильства в сім'ї буде менше",Сексизм
"Чоловіки більш раціональні, тому можуть краще приймати рішення",Сексизм
Жінці не місце в політиці ,Сексизм
Прикраса жінки - мовчання ,Сексизм
Жінка - це невдалий чоловік. ,"Сексизм
це вже навіть приклад мізогінії "
Місія кожної жінки - стати мамою ,Стереотип
Я ще ніколи не бачив гарну феміністку,"Лукізм
Чи є тут також і сексизм? "
"Суспільство може прагнути рівності, але в біології рівність зустрічається лише на кладовищі. ",Стереотип - який? генедрний? 
" Частіше всього феміністки за матріархат, що означає домінувати над чоловіками.",Стереотип
"Найцікавіше, що серед жінок, що створили нормальну сім'ю з чоловіком, феміністок майже немає.",Стереотип
" Я за фемінізм, нехай вони служать в армії, працюють на будівництві та б'ються в спорті з чоловіками ","Стереотип, маніпуляція"
"Ми живемо в матріархаті, тому що чоловіки купляють дівчатам шмотки",Стереотип
"Фемінізм - хвороба жінок, які мають сексуальні чи гормональні відхилення.","Гомофобія 
Тут радше йдеться про мізогінію "
"Фемінізм часто сприймається, як бажання жінок стати чоловіком, а не рівні права. Рівні права це розподілення прав та обов'язків через закони та спільно моральну поведінку, а не диктатура і ворожнеча до чоловіків.",Стереотип
"Чим радикальніша феміністка, тим вона страшніша",Лукізм
"Найбільш реалістичний спосіб відбити бажання жінки бути феміністкою - це спокусити, закохати і трахнути її ",Сексизм
Фантазії про нерівні права. В Україні жінкам гріх жалітись. Я б ще зрозумів в мусульманському світі про це (фемінізм) говорити.,стереотип
Фемінізм - це один із інструментів зменшення населення світу ,Стереотип
"Коли я чую слово ""фемінізм"", я уявляю погану доглянуту коротковолосу жінку, що виглядає як чоловік",Лукізм
Я ніколи не бачив феміністки десь на Кавказі та інших ісламських країнах ,Стереотип
Жінка (з великої літери) ніколи не буде феміністкою,"Стереотип, лукізм"
"Там, де фемінізм відсутній, народжується 3,4,5 дітей, а у нас демографічний колапс ",Стереотип
Сучасний фемінізм - це зворотній сексизм,Стереотип
Фемінізм - це боротьба потворних жінок за рівні права з прекрасними жінками ,Лукізм
"Феміністки борються проти сексизму, хоча самі є сексистами",Стереотип
Феміністки пропагують ненависть до чоловіків ,Стереотип
Ти правда будеш їсти це? Я думав ти з'їш салат.,Побутовий сексизм
"Помиєш посуд? В тебе, як в жінки це краще виходить.",Побутовий сексизм
"Якщо машина якось дивно їде, то в 4 випадках з 5 за кермом жінка.",Сексизм
"Приготуй йому їжу, це ж твій обовязок.",Побутовий сексизм
"Ти що не хочеш заміж, повір ти захочеш.",Побутовий сексизм
Жінці не личить пити аклоголь.,Побутовий сексизм
"Навіщо ти переймаєшся за свою кар'єру, ти повина сидіти з дітьми вдома.",Побутовий сексизм
"Я не розумію як прати, мабуть у жінок вроджене розуміння цього.",Побутовий сексизм
Чого ти одягла брюки? Ти повина бути жіночнішою. ,Побутовий сексизм
"Твоя робота це прибирання, піклуання за дітьми та готування їжі.",Побутовий сексизм
