	101	102	111	113
r8.different.j.01001	1	1	1	1
r8.different.j.01002	1	1	2	1
r8.different.j.01003	1	1	1	1
r8.different.j.01004	1	4	1	3
r8.different.j.01005	5	1	4	1
r8.different.j.01006	5	3	4	1
r8.different.j.01007	1	2	1	1
r8.different.j.01008	5	4	2	1
r8.different.j.01009	5	4	4	1
r8.different.j.01010	1	1	4	1
r8.different.j.01011	5	1	4	1
r8.different.j.01012	3	1	1	3
r8.different.j.01013	1	3	1	1
r8.different.j.01014	3	1	1	1&&3
r8.different.j.01015	1	1	1	1
r8.different.j.01016	5	4	4	1
r8.different.j.01026	2	2	1	1
r8.different.j.01029	1	1	1	1
r8.different.j.01039	5	1	1	1
r8.different.j.01043	1	1	1	1
r8.different.j.01056	1	1	1	1
r8.different.j.01058	1	2	1	1
r8.different.j.01098	3	3	3	3
r8.different.j.01125	5	1	5	1
r8.different.j.01139	1	1	2	1
r8.different.j.01143	1	1	1	1
r8.different.j.01147	1	1	1	1&&3
r8.different.j.01148	2	1	2	2
r8.different.j.01172	5	1	2	1
r8.different.j.01198	3	2	1	1
r8.different.j.01209	1	1	2	1
r8.different.j.01212	1	1	5	1
r8.different.j.01224	5	1	5	1
r8.different.j.01225	1	1	1	1
r8.different.j.01240	1	1	1	1
r8.different.j.01242	1	1	1	1
r8.different.j.01243	1	4	5	1
r8.different.j.01247	1	1	5	1
r8.different.j.01252	1	1	1	1
r8.different.j.01256	1	1	1	1
r8.different.j.01262	1	1	1	1
r8.different.j.01276	1	1	5	1
r8.different.j.01286	1	4	1	46
r8.different.j.01288	1	1	1	1
r8.different.j.01291	1	1	1	1
r8.different.j.01299	45	45	45	45
r8.different.j.01304	1	1	1	1
r8.different.j.01305	1	1	1	1
r8.different.j.01310	1	1	1	1
r8.different.j.01321	1	1	5	1
r8.different.j.01324	5	1	5	1
r8.different.j.01328	1	1	1	1
r8.different.j.01340	1	1	5	1
r8.different.j.01351	1	1	1	1
r8.different.j.01355	1	1	1	1
r8.different.j.01381	1	1	2	1
r8.different.j.01389	5	1	5	1
r8.different.j.01393	1	1	5	1&&4
r8.different.j.01402	1	1	5	1
r8.different.j.01404	1	1	1	1
r8.different.j.01405	5	1	5	1&&4
r8.different.j.01413	1	1	1	1
r8.different.j.01421	1	1	2	1
r8.different.j.01426	1	1	1	1
r8.different.j.01429	1	2	1	1
r8.different.j.01434	5	1	2	4
r8.different.j.01444	1	1	5	1
r8.different.j.01458	1	1	5	1
r8.different.j.01472	1	1	5	1&&4
r8.different.j.01494	1	1	1	1
r8.different.j.01498	1	1	1	1&&4
r8.different.j.01511	1	4	5	1
r8.different.j.01518	1	1	1	1&&4
r8.different.j.01522	1	1	1	1
r8.different.j.01523	2	1	1	1
r8.different.j.01525	1	1	5	1
r8.different.j.01526	1	1	1	1
r8.different.j.01529	1	1	5	4
r8.different.j.01556	1	1	1	1
r8.different.j.01557	1	1	1	1
r8.different.j.01565	1	1	5	1
r8.different.j.01600	1	1	2	1&&3
r8.different.j.01619	1	1	1	1
r8.different.j.01624	5	1	5	1
r8.different.j.01629	1	1	1	1
r8.different.j.01632	1	1	1	1
r8.different.j.01633	5	1	1	1
r8.different.j.01641	1	1	5	1
r8.different.j.01657	1	1	1	1
r8.different.j.01664	1	1	1	1
r8.different.j.01668	1	1	1	1
r8.different.j.01676	1	1	2	1
r8.different.j.01691	1	1	1	1
r8.different.j.01708	1	2	2	1&&2
r8.different.j.01727	1	4	5	1
r8.different.j.01730	1	1	5	1&&4
r8.different.j.01737	2	1	2	1
r8.different.j.01743	1	1	5	1
r8.different.j.01753	1	1	1	1
r8.different.j.01775	3	1	1	1
