	114	115	116
r1.influence.n.00464	1	5	1
r1.influence.n.00475	1	4	5
r1.influence.n.00476	1	4	1
r1.influence.n.00477	1	4	1
r1.influence.n.00478	1	4	1
r1.influence.n.00479	1	4	1
r1.influence.n.00480	1	4	1
r1.influence.n.00481	4	4	4
r1.influence.n.00490	4	4	4
r1.influence.n.00499	5	4	5
r1.influence.n.00500	1	4	1
r1.influence.n.00501	4	4	44
r1.influence.n.00502	1	4	1
r1.influence.n.00503	4	4	2
r1.influence.n.00504	1	4	47
r1.influence.n.00505	1	4	1
r1.influence.n.00506	1	4	1
r1.influence.n.00507	5	5	5
r1.influence.n.00508	1	4	1
r1.influence.n.00509	1	4	1
r1.influence.n.00510	1	4	1
r1.influence.n.00511	4	4	3
r1.influence.n.00512	1	4	1
r1.influence.n.00513	1	4	1
r1.influence.n.00514	1	4	1
r1.influence.n.00515	2	4	3
r1.influence.n.00516	1	4	1
r1.influence.n.00517	1	4	1
r1.influence.n.00518	4	4	1
r1.influence.n.00519	2	4	1
r1.influence.n.00520	1	4	1
r1.influence.n.00521	1	4	2
r1.influence.n.00522	3	4	4
r1.influence.n.00523	1	4	1
r1.influence.n.00524	1	4	3
r1.influence.n.00525	1	4	1
r1.influence.n.00526	1	1	1
r1.influence.n.00527	4	4	4
r1.influence.n.00528	4	3	5
r1.influence.n.00529	4	4	4
r1.influence.n.00530	4	4	4
r1.influence.n.00532	1	4	4
r1.influence.n.00533	1	4	1
r1.influence.n.00534	3	3	3
r1.influence.n.00535	1	4	1
r1.influence.n.00536	1	4	1
r1.influence.n.00537	2	4	4
r1.influence.n.00538	4	4	4
r1.influence.n.00539	4	4	4
r1.influence.n.00540	2	45	4
r1.influence.n.00541	2	4	4
r1.influence.n.00542	1	4	2
r1.influence.n.00543	2	4	4
r1.influence.n.00544	4	4	4
r1.influence.n.00545	4	4	4
r1.influence.n.00546	4	4	4
r1.influence.n.00547	2	4	45
r1.influence.n.00548	3	4	2
r1.influence.n.00549	4	4	1
r1.influence.n.00550	4	4	4
r1.influence.n.00551	2	4	4
r1.influence.n.00552	4	4	4
r1.influence.n.00553	4	4	4
r1.influence.n.00554	1	5	4
r1.influence.n.00555	2	4	4
r1.influence.n.00556	2	4	4
r1.influence.n.00557	4	4	4
r1.influence.n.00558	2	45	45
r1.influence.n.00559	4	4	4
r1.influence.n.00560	4	4	4
r1.influence.n.00561	2	4	4
r1.influence.n.00562	4	45	45
r1.influence.n.00563	4	4	4
r1.influence.n.00564	4	4	4
r1.influence.n.00565	4	4	4
r1.influence.n.00566	45	45	45
r1.influence.n.00567	4	4	4
r1.influence.n.00568	4	4	4
r1.influence.n.00569	3	4	1
r1.influence.n.00570	2	4	4
r1.influence.n.00571	2	4	4
r1.influence.n.00572	1	4	1
r1.influence.n.00573	45	45	45
r1.influence.n.00574	45	45	4
r1.influence.n.00575	2	4	3
r1.influence.n.00576	4	4	1
r1.influence.n.00577	4	4	2
r1.influence.n.00578	4	4	4
r1.influence.n.00579	1	4	4
r1.influence.n.00580	1	4	1
r1.influence.n.00581	1	1	1
r1.influence.n.00584	4	4	4
r1.influence.n.00585	5	4	2
r1.influence.n.00586	1	5	1
r1.influence.n.00587	5	4	1
r1.influence.n.00588	4	4	3
r1.influence.n.00589	1	4	1
