	101	102	105	107	108
r2.know.v.00498	3	3	3	3	3
r2.know.v.00505	1	1	1	1	1
r2.know.v.00531	1	1	3	1	44
r2.know.v.00536	3	3	3	1	44
r2.know.v.00537	44	3	46	1	44
r2.know.v.00552	1	3	1	1	1
r2.know.v.00596	1	3	1	1	1
r2.know.v.00601	4	4	4	4	4
r2.know.v.00602	4	4	4	4	4
r2.know.v.00607	4	4	11	11	11
r2.know.v.00609	1	3	1	1	1
r2.know.v.00629	1	5	1	1	3
r2.know.v.00656	3	1	1	1	3
r2.know.v.00668	1	3	1	1	1
r2.know.v.00671	4	4	4	4	4
r2.know.v.00674	1	1	1	1	5
r2.know.v.00694	1	4	4	1	4
r2.know.v.00701	4	9	4	4	4
r2.know.v.00720	1	3	1	1	1
r2.know.v.00721	3	1	1	1	3
r2.know.v.00723	3	3	1	3	1
r2.know.v.00732	4	4	4	4	4
r2.know.v.00735	4	45	4	4	4
r2.know.v.00745	1	1	1	1	1
r2.know.v.00747	1	1	1	1	1
r2.know.v.00762	4	4	4	4	4
r2.know.v.00772	1	1	1	1	46
r2.know.v.00790	1	3	1	1	1
r2.know.v.00794	1	1	1	1	1
r2.know.v.00804	6	45	45	4	45
r2.know.v.00806	1	3	1	1	1
r2.know.v.00809	1	1	1	1	1
r2.know.v.00811	1	1	1	1	3
r2.know.v.00822	4	9	4	4	11
r2.know.v.00830	1	4	1	3	4
r2.know.v.00831	47	9	4	4	45
r2.know.v.00833	45	9	4	4	7
r2.know.v.00837	1	1	1	3	1
r2.know.v.00840	1	1	1	1	1
r2.know.v.00845	45	9	4	4	9
r2.know.v.00851	1	3	1	3	1
r2.know.v.00855	1	3	3	3	3
r2.know.v.00856	1	5	5	1	3
r2.know.v.00871	3	3	1	3	3
r2.know.v.00883	2	2	47	2	2
r2.know.v.00885	4	45	4	4	4
r2.know.v.00889	3	1	1	1	3
r2.know.v.00893	1	3	1	3	3
r2.know.v.00897	1	1	1	1	3
r2.know.v.00899	1	3	1	1	3
r2.know.v.00914	47	45	45	4	45
r2.know.v.00917	1	1	1	1	1
r2.know.v.00923	1	3	9	1	1
r2.know.v.00924	1	3	1	1	1
r2.know.v.00932	1	3	1	3	3
r2.know.v.00953	1	4	3	1	3
r2.know.v.00960	1	1	1	1	1
r2.know.v.00967	1	3	1	1	1
r2.know.v.00968	3	3	3	1	3
r2.know.v.00982	4	9	4	4	4
r2.know.v.00999	4	9	4	4	9
r2.know.v.01016	45	3	3	1	1
r2.know.v.01019	45	45	4	4	4
r2.know.v.01020	45	9	4	1	1
r2.know.v.01025	4	1	4	9	4
r2.know.v.01039	4	45	4	4	4
r2.know.v.01070	2	2	47	2	2
r2.know.v.01072	1	3	1	1	1
r2.know.v.01074	1	3	1	1	1
r2.know.v.01076	5	5	5	5	5
r2.know.v.01077	45	1	1	1	45
r2.know.v.01078	3	7	1	44	46
r2.know.v.01092	2	2	3	2	2
r2.know.v.01097	1	1	1	1	4
r2.know.v.01099	45	2	4	1	4
r2.know.v.01134	3	1	1	1	1
r2.know.v.01139	1	3	1	1	1
r2.know.v.01144	1	1	3	3	3
r2.know.v.01163	1	3	1	1	1
r2.know.v.01167	45	9	4	1	45
r2.know.v.01173	45	9	45	4	45
r2.know.v.01186	1	45	45	1	45
r2.know.v.01194	1	1	1	1	1
r2.know.v.01216	45	9	4	1	1
r2.know.v.01235	45	1	45	4	45
r2.know.v.01290	4	9	4	4	4
r2.know.v.01294	4	45	1	4	4
r2.know.v.01306	1	1	3	1	1
r2.know.v.01322	4	9	4	4	4
r2.know.v.01351	4	45	4	4	4
r2.know.v.01378	4	9	45	4	45
r2.know.v.01389	45	9	9	9	45
r2.know.v.01392	4	45	4	4	4
r2.know.v.01394	4	9	4	4	4
r2.know.v.01421	4	9	4	9	9
r2.know.v.01429	45	9	9	9	45
r2.know.v.01432	4	9	4	4	4
r2.know.v.01433	4	9	9	9	45
r2.know.v.01442	4	9	9	9	45
