	101	102	103	105	107	108
r2.land.n.01443	5	2	4	5	5	5
r2.land.n.01453	1	1	1	5	5	7
r2.land.n.01480	1	1	1	1	1	1
r2.land.n.01488	3	9	9	3	3	3
r2.land.n.01493	45	45	45	45	45	45
r2.land.n.01496	45	45	45	46	45	45
r2.land.n.01510	1	2	1	1	1	5
r2.land.n.01519	1	1	1	1	1	1
r2.land.n.01524	1	1	1	1	1	2
r2.land.n.01532	1	1	1	1	1	1
r2.land.n.01545	6	45	6	6	6	44
r2.land.n.01551	4	2	2	2	2	11
r2.land.n.01552	45	45	45	45	45	45
r2.land.n.01554	5	6	5	5	6	47
r2.land.n.01565	5	3	1	1	3	3
r2.land.n.01570	6	6	6	6	6	6
r2.land.n.01580	1	2	2	11	2	11
r2.land.n.01588	45	45	46	46	46	46
r2.land.n.01590	5	6	6	6	6	6
r2.land.n.01594	4	4	4	4	4	4
r2.land.n.01623	2	2	6	2	6	6
r2.land.n.01641	5	6	6	9	6	9
r2.land.n.01643	1	4	1	5	1	7
r2.land.n.01650	4	2	44	4	4	4
r2.land.n.01658	45	4	45	47	4	47
r2.land.n.01669	6	6	6	6	6	5
r2.land.n.01670	6	4	2	1	1	5
r2.land.n.01688	1	1	1	1	1	1
r2.land.n.01696	5	4	5	6	3	3
r2.land.n.01710	6	6	6	6	6	6
r2.land.n.01720	3	4	5	2	5	5
r2.land.n.01734	5	8	3	9	6	5
r2.land.n.01750	1	2	44	2	44	44
r2.land.n.01811	5	5	4	3	6	4
r2.land.n.01827	45	45	46	46	46	46
r2.land.n.01828	4	4	4	4	4	4
r2.land.n.01836	1	4	2	1	1	7
r2.land.n.01847	1	3	3	3	1	7
r2.land.n.01848	4	4	4	4	4	2
r2.land.n.01853	45	45	45	45	45	45
r2.land.n.01863	5	5	5	3	3	5
r2.land.n.01872	1	4	1	2	2	2
r2.land.n.01874	1	4	1	2	2	2
r2.land.n.01898	1	1	1	1	1	1
r2.land.n.01899	3	3	3	5	9	3
r2.land.n.01901	1	47	46	4	1	7
r2.land.n.01927	1	1	1	3	1	2
r2.land.n.01931	1	1	1	1	1	2
r2.land.n.01938	1	4	4	4	1	4
r2.land.n.01967	1	1	1	1	1	2
r2.land.n.01987	1	1	1	3	1	2
r2.land.n.01997	1	1	1	1	1	2
r2.land.n.02014	1	1	1	3	1	2
r2.land.n.02027	4	2	2	2	4	2
r2.land.n.02068	4	4	4	4	4	4
r2.land.n.02071	4	4	4	4	4	4
r2.land.n.02076	4	4	4	4	4	47
r2.land.n.02090	5	3	1	5	5	5
r2.land.n.02092	5	5	5	5	3	6
r2.land.n.02101	5	5	5	5	9	5
r2.land.n.02103	5	5	5	9	3	5
r2.land.n.02105	5	5	5	5	1	3
r2.land.n.02108	1	3	1	2	1	3
r2.land.n.02127	2	2	2	2	2	11
r2.land.n.02128	1	1	1	1	1	7
r2.land.n.02131	5	6	6	5	9	8
r2.land.n.02137	4	3	4	5	4	4
r2.land.n.02153	1	46	1	1	46	46
r2.land.n.02157	5	1	3	5	5	5
r2.land.n.02161	5	5	6	3	5	5
r2.land.n.02171	2	2	2	2	2	2
r2.land.n.02184	6	6	6	6	6	6
r2.land.n.02198	1	46	1	46	46	46
r2.land.n.02209	5	6	5	5	5	5
r2.land.n.02212	5	4	4	4	3	4
r2.land.n.02218	6	6	6	6	6	5
r2.land.n.02243	6	6	6	6	6	5
r2.land.n.02245	47	4	6	6	44	46
r2.land.n.02259	4	4	4	4	4	4
r2.land.n.02264	1	1	1	1	1	1
r2.land.n.02269	5	4	1	3	1	1
r2.land.n.02284	4	4	4	4	4	4
r2.land.n.02298	5	9	6	5	6	5
r2.land.n.02299	5	9	5	5	5	9
r2.land.n.02304	4	4	4	4	4	4
r2.land.n.02307	1	1	1	1	1	1
r2.land.n.02314	4	4	4	4	4	4
r2.land.n.02318	5	4	4	1	4	1
r2.land.n.02333	6	6	5	3	6	47
r2.land.n.02336	1	2	1	2	2	2
r2.land.n.02348	5	5	5	6	3	5
r2.land.n.02356	5	4	6	6	6	5
r2.land.n.02358	4	4	4	4	4	4
r2.land.n.02381	5	2	2	2	2	2
r2.land.n.02383	4	4	4	2	4	1
r2.land.n.02393	4	4	4	4	4	4
r2.land.n.02398	4	4	4	4	4	4
r2.land.n.02408	6	4	3	6	5	5
